"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","137464","","","","0"
"2016","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","142504","","","","0"
"2017","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","152813","","","","0"
"2018","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","157095","","","","0"
"2019","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","156979","","","","0"
"2020","Canada","2016A000011124","Chained (2012) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","148561","","","","0"
"1990","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","34190","","","","0"
"1991","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","31826","","","","0"
"1992","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","32084","","","","0"
"1993","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","33045","","","","0"
"1994","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","34453","","","","0"
"1995","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","35986","","","","0"
"1996","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","36360","","","","0"
"1997","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","37752","","","","0"
"1998","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","39690","","","","0"
"1999","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","41035","","","","0"
"2000","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","43110","","","","0"
"2001","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","45048","","","","0"
"2002","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","47344","","","","0"
"2003","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","49196","","","","0"
"2004","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","51231","","","","0"
"2005","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","53739","","","","0"
"2006","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","57913","","","","0"
"2007","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","61520","","","","0"
"2008","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","64281","","","","0"
"2009","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","63767","","","","0"
"2010","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","67474","","","","0"
"2011","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","69435","","","","0"
"2012","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","71584","","","","0"
"2013","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","74068","","","","0"
"2014","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","76479","","","","0"
"2015","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","79267","","","","0"
"2016","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","80408","","","","0"
"2017","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","83794","","","","0"
